分析对象,Rome类别,指标,H统计量,p值,是否显著(p<0.05)
all,Dyssynergic,肛门括约肌静息压(mmHg),145.654,2.3529436891022838e-32,是
all,Dyssynergic,最大缩榨压MSP（mmHg）,97.167,7.951651476175418e-22,是
all,Dyssynergic,排便时直肠压力(mmHg),6.816,0.033104279960780136,是
all,Dyssynergic,初始感觉阈值(ml),1.444,0.48566547597320353,否
all,Dyssynergic,最大容量感觉阈值(ml),0.479,0.7871284315183453,否
all,Poor_Propulsion,肛门括约肌静息压(mmHg),196.574,2.0631176692414198e-43,是
all,Poor_Propulsion,最大缩榨压MSP（mmHg）,104.028,2.5740190281409495e-23,是
all,Poor_Propulsion,排便时直肠压力(mmHg),8.429,0.014781425702137344,是
all,Poor_Propulsion,初始感觉阈值(ml),5.849,0.053697974987373547,否
all,Poor_Propulsion,最大容量感觉阈值(ml),11.666,0.0029293727431017416,是
