分析对象,Rome类别,指标,H统计量,p值,是否显著(p<0.05)
stable,Dyssynergic,肛门括约肌静息压(mmHg),146.785,1.3369062242185875e-32,是
stable,Dyssynergic,最大缩榨压MSP（mmHg）,95.82,1.5595476579078998e-21,是
stable,Dyssynergic,排便时直肠压力(mmHg),7.063,0.029254514082518883,是
stable,Dyssynergic,初始感觉阈值(ml),1.29,0.5245896083097876,否
stable,Dyssynergic,最大容量感觉阈值(ml),0.349,0.8397916192630616,否
stable,Poor_Propulsion,肛门括约肌静息压(mmHg),199.91,3.8907684264069327e-44,是
stable,Poor_Propulsion,最大缩榨压MSP（mmHg）,104.692,1.846415015228443e-23,是
stable,Poor_Propulsion,排便时直肠压力(mmHg),8.686,0.013000680845917574,是
stable,Poor_Propulsion,初始感觉阈值(ml),6.564,0.03755457072413864,是
stable,Poor_Propulsion,最大容量感觉阈值(ml),11.753,0.0028042799765126327,是
