分析对象,Rome类别,指标,H统计量,p值,是否显著(p<0.05)
all,Dyssynergic,肛门括约肌静息压(mmHg),146.69,1.401591232925076e-32,是
all,Dyssynergic,最大缩榨压MSP（mmHg）,94.999,2.3514552899895062e-21,是
all,Dyssynergic,排便时直肠压力(mmHg),7.906,0.01920144238865275,是
all,Dyssynergic,初始感觉阈值(ml),1.326,0.5152428500873902,否
all,Dyssynergic,最大容量感觉阈值(ml),0.151,0.9270836218737265,否
all,Poor_Propulsion,肛门括约肌静息压(mmHg),199.91,3.8907684264069327e-44,是
all,Poor_Propulsion,最大缩榨压MSP（mmHg）,104.692,1.846415015228443e-23,是
all,Poor_Propulsion,排便时直肠压力(mmHg),8.686,0.013000680845917574,是
all,Poor_Propulsion,初始感觉阈值(ml),6.564,0.03755457072413864,是
all,Poor_Propulsion,最大容量感觉阈值(ml),11.753,0.0028042799765126327,是
